Human,Mouse
"level_3;pons","level_4;Pons"
"level_3;hypothalamus","level_4;Hypothalamus"
"level_3;thalamus","level_4;Thalamus"
"level_4;cerebellar cortex","level_3;Cerebellar cortex"
"level_4;cerebellar nuclei","level_3;Cerebellar nuclei"
"level_5;hippocampal formation","level_5;Hippocampal formation"
"level_6;CA1 field","level_8;Field CA1"
"level_6;CA2 field","level_8;Field CA2"
"level_6;CA3 field","level_8;Field CA3"
"level_6;dentate gyrus","level_7;Dentate gyrus"
"level_4;insula","level_6;Agranular insular area"
"level_5;cingulate gyrus","level_6;Anterior cingulate area"
"level_4;frontal lobe","level_6;Frontal pole, cerebral cortex"
"level_5;anterior orbital gyrus","level_6;Orbital area"
"level_5;lateral orbital gyrus","level_6;Orbital area"
"level_5;medial orbital gyrus","level_6;Orbital area"
"level_5;posterior orbital gyrus","level_6;Orbital area"
"level_5;precentral gyrus","level_7;Primary motor area"
"level_5;postcentral gyrus","level_7;Primary somatosensory area"
"level_5;piriform cortex","level_6;Piriform area"
"level_5;globus pallidus","level_4;Pallidum"
"level_5;striatum","level_4;Striatum"
"level_3;cerebellar white matter tracts","level_2;cerebellum related fiber tracts"
"level_4;abducens nerve","level_3;abducens nerve"
"level_4;accessory nerve","level_3;accessory spinal nerve"
"level_4;facial_nerve","level_3;facial nerve"
"level_4;glossopharyngeal nerve","level_3;glossopharyngeal nerve"
"level_4;hypoglossal nerve","level_3;hypoglossal nerve"
"level_4;occulomotor nerve","level_3;oculomotor nerve"
"level_4;olfactory nerve","level_3;olfactory nerve"
"level_4;optic nerve","level_3;optic nerve"
"level_4;trigeminal nerve","level_3;trigeminal nerve"
"level_4;trochlear nerve","level_3;trochlear nerve"
"level_4;vagus nerve","level_3;vagus nerve"
"level_4;vestibulocochlear nerve","level_3;vestibulocochlear nerve"
"level_4;corpus callosum","level_3;corpus callosum"
"level_4;internal capsule","level_4;internal capsule"
"level_4;stria terminalis","level_4;stria terminalis"
"level_4;mammillary peduncle","level_5;mammillary peduncle"
"level_4;mammillotegmental tract","level_5;mammillotegmental tract"
"level_4;mammillothalamic tract","level_5;mammillothalamic tract"
"level_4;stria medullaris","level_5;stria medullaris"
"level_4;fornix","level_4;fornix system"
"level_3;corticospinal tract","level_3;corticospinal tract"
